Model,Fit_Time_sec,Train_Accuracy,Train_Precision,Train_Recall,Train_F1,Train_Roc_auc,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_Roc_auc,Embedding
GradientBoostingClassifier_tfidf,290.9742736816406,0.82195,0.7906472871716168,0.8758,0.8310480618683873,0.90795823875,0.8035,0.7742635098499909,0.8568,0.8134434634007406,0.89240308,_tfidf
AdaBoostClassifier_tfidf,56.96252608299256,0.753275,0.7086714727085479,0.86015,0.7770976849237718,0.82903675875,0.749,0.7043663821405122,0.8582,0.7737107825459791,0.8239171,_tfidf
MLPClassifier_tfidf,332.2868983745575,0.993575,0.992516090405628,0.99465,0.9935818994580824,0.99978986625,0.8666,0.8612534489554592,0.874,0.867579908675799,0.9393229,_tfidf
LogisticRegression_tfidf_cv,9.821423053741457,0.9317050000000002,0.9246189192287232,0.9400492247465418,0.9322698580635476,0.98149940038027,0.89728,0.8889659998507492,0.907959901649584,0.8983596014632038,0.9621187099487304,_tfidf_cv
SGDClassifier_tfidf_cv,3.0136821269989014,0.927095,0.9165859127899472,0.9397096299198948,0.9280031988671232,0.9786444505344888,0.8966,0.884952582869758,0.9117137797534608,0.898132938505999,0.9618936324083724,_tfidf_cv
LinearSVC_tfidf_cv,15.849962711334229,0.98161,0.9793287223742896,0.9839895369154574,0.9816533859730902,0.9982271258662282,0.89222,0.8867265059758234,0.8993244046054301,0.8929782024754862,0.9587252494154256,_tfidf_cv
MultinomialNB_tfidf_cv,0.7905540466308594,0.8939199999999999,0.8845226944374499,0.9061407991819124,0.8952008787562077,0.9593836443076332,0.8745799999999999,0.8646488031947026,0.8882092979819074,0.8762641148485285,0.945146366566423,_tfidf_cv
ComplementNB_tfidf_cv,1.0071237087249756,0.8939450000000001,0.884513656941907,0.9062111376341628,0.895230142862425,0.9593836443076332,0.87476,0.8647806745337906,0.888446905623797,0.8764483337513532,0.945146366566423,_tfidf_cv
BernoulliNB_tfidf_cv,1.2813160419464111,0.88529,0.8769014832765721,0.8964201775492494,0.8865523487019529,0.9490860270733464,0.8693399999999999,0.8604036236433276,0.8817771386371668,0.8709445290680378,0.936032983428379,_tfidf_cv
DecisionTreeClassifier_tfidf_cv,905.7965724468232,1.0,1.0,1.0,1.0,1.0,0.71872,0.7178005605661497,0.7209445350955898,0.7193264749287758,0.7187440253247465,_tfidf_cv
RandomForestClassifier_tfidf_cv,1390.1991169452667,1.0,1.0,1.0,1.0,1.0,0.85488,0.8553303945487738,0.854296245743306,0.8547941151816024,0.9321627304654504,_tfidf_cv
ExtraTreesClassifier_tfidf_cv,2038.8487634658811,1.0,1.0,1.0,1.0,1.0,0.8689599999999998,0.8679336063295287,0.8703731074864992,0.8691387334582945,0.941005450748017,_tfidf_cv
GradientBoostingClassifier_tfidf_cv,2117.789358854294,0.820875,0.7894192890046028,0.8752186029142119,0.8301070225048269,0.9085137585872156,0.8077400000000001,0.7773428886052584,0.8626050149051789,0.8177388116466741,0.8948957155073234,_tfidf_cv
